date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:40	479/479	---MCZ	200	added ('OK')	text/plain	etag:cacheable:83f6f4d693e2b4f6ea4b8c5e4d598b9e	https://porto-demo2.myshopify.com/robots.txt		(from )
20:51:40	138698/138698	---MCZ	200	added ('OK')	text/html	etag:cacheable:852e507d98831eedf235174146acb186	https://porto-demo2.myshopify.com/	C:/My%20Web%20Sites/porto/porto-demo2.myshopify.com/index.html	(from )
20:51:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:39%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/plugins.css?v=58826214593735965551639732924	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/plugins.09cb0.delayed	(from https://porto-demo2.myshopify.com/)
20:51:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:41%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/ultramegamenu.css?v=106457412661771523601639732943	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/ultramegamenuee67.css	(from https://porto-demo2.myshopify.com/)
20:51:43	132911/132911	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jun%202022%2014:00:02%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/plugins.css?v=58826214593735965551639732924	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/plugins9cb0.css	(from https://porto-demo2.myshopify.com/)
20:51:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:41%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/styles.css?v=180834846243858391561639732940	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/styles620b.css	(from https://porto-demo2.myshopify.com/)
20:51:43	18654/18654	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2000:53:36%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/ultramegamenu.css?v=106457412661771523601639732943	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/ultramegamenuee67.css	(from https://porto-demo2.myshopify.com/)
20:51:43	120443/120443	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2007:04:43%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/styles.css?v=180834846243858391561639732940	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/styles620b.css	(from https://porto-demo2.myshopify.com/)
20:51:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:42%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/header-type2.css?v=42331660176126045851639732877	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/header-type27772.css	(from https://porto-demo2.myshopify.com/)
20:51:45	5125/5125	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jun%202022%2014:00:02%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/header-type2.css?v=42331660176126045851639732877	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/header-type27772.css	(from https://porto-demo2.myshopify.com/)
20:51:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:43%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/homepage.css?v=139196764768539256851639732883	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/homepage63e3.css	(from https://porto-demo2.myshopify.com/)
20:51:45	27841/27841	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2007:04:43%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/homepage.css?v=139196764768539256851639732883	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/homepage63e3.css	(from https://porto-demo2.myshopify.com/)
20:51:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:44%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/product-list.css?v=145866938871942426831639732927	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/product-list073e.css	(from https://porto-demo2.myshopify.com/)
20:51:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:44%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/responsive.css?v=172664629932058687001639732931	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/responsive4f24.css	(from https://porto-demo2.myshopify.com/)
20:51:46	45259/45259	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2000:53:36%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/product-list.css?v=145866938871942426831639732927	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/product-list073e.css	(from https://porto-demo2.myshopify.com/)
20:51:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Jul%202022%2015:54:45%20GMT	http://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/config.css?v=69282492010372902891639733028	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/configec3b.css	(from https://porto-demo2.myshopify.com/)
20:51:47	22215/22215	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:16:06%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/responsive.css?v=172664629932058687001639732931	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/responsive4f24.css	(from https://porto-demo2.myshopify.com/)
20:51:47	22608/22608	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2010:18:23%20GMT	https://cdn.shopify.com/s/files/1/1612/9747/t/42/assets/config.css?v=69282492010372902891639733028	C:/My%20Web%20Sites/porto/cdn.shopify.com/s/files/1/1612/9747/t/42/assets/configec3b.css	(from https://porto-demo2.myshopify.com/)
20:51:48	139016/139016	---MCZ	200	added ('OK')	text/html	etag:cacheable:39c0527b8275969054bd60eff5bdb71b	https://porto-demo2.myshopify.com/de	C:/My%20Web%20Sites/porto/porto-demo2.myshopify.com/de.html	(from https://porto-demo2.myshopify.com/)
20:51:50	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2015%20Jul%202022%2015:35:58%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/My%20Web%20Sites/porto/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://porto-demo2.myshopify.com/)
